ubx811:70 lbx811:44.7857
ubx812:70 lbx812:44.7857
ubx813:70 lbx813:44.7857
ubx814:inf lbx814:0
ubx815:16000 lbx815:1600
ubx816:20000 lbx816:2000
ubx817:0 lbx817:0
ubx818:0 lbx818:0
ubx819:70 lbx819:44.75
ubx820:70 lbx820:44.75
ubx821:70 lbx821:44.75
ubx822:70 lbx822:44.75
ubx823:inf lbx823:0
ubx824:16000 lbx824:1600
ubx825:20000 lbx825:2000
ubx826:0 lbx826:0
ubx827:0 lbx827:0
ubx828:70 lbx828:44.7143
ubx829:70 lbx829:44.7143
ubx830:70 lbx830:44.7143
ubx831:70 lbx831:44.7143
ubx832:inf lbx832:0
ubx833:16000 lbx833:1600
ubx834:20000 lbx834:2000
ubx835:0 lbx835:0
ubx836:0 lbx836:0
ubx837:70 lbx837:44.6786
ubx838:70 lbx838:44.6786
ubx839:70 lbx839:44.6786
ubx840:70 lbx840:44.6786
ubx841:inf lbx841:0
ubx842:16000 lbx842:1600
ubx843:20000 lbx843:2000
ubx844:0 lbx844:0
ubx845:0 lbx845:0
ubx846:70 lbx846:44.6429
ubx847:70 lbx847:44.6429
ubx848:70 lbx848:44.6429
ubx849:70 lbx849:44.6429
ubx850:inf lbx850:0
ubx851:16000 lbx851:1600
ubx852:20000 lbx852:2000
ubx853:0 lbx853:0
ubx854:0 lbx854:0
ubx855:70 lbx855:44.6071
ubx856:70 lbx856:44.6071
ubx857:70 lbx857:44.6071
ubx858:70 lbx858:44.6071
ubx859:inf lbx859:0
ubx860:16000 lbx860:1600
ubx861:20000 lbx861:2000
ubx862:0 lbx862:0
ubx863:0 lbx863:0
ubx864:70 lbx864:44.5714
ubx865:70 lbx865:44.5714
ubx866:70 lbx866:44.5714
ubx867:70 lbx867:44.5714
ubx868:inf lbx868:0
ubx869:16000 lbx869:1600
ubx870:20000 lbx870:2000
ubx871:0 lbx871:0
ubx872:0 lbx872:0
ubx873:10000 lbx873:0
ubx874:0.0002 lbx874:0
ubx875:1 lbx875:0
ubx876:-2.83313 lbx876:-2.83323
ubx877:0.0002 lbx877:0
ubx878:0.0002 lbx878:0.0001
ubx879:2.3002 lbx879:2.3001
ubx880:0.00019 lbx880:9e-05
ubx881:8000 lbx881:-8000
ubx882:10000 lbx882:-11000
ubx883:8000 lbx883:0
ubx884:inf lbx884:-inf
ubx885:10000 lbx885:0
ubx886:0.0002 lbx886:0
ubx887:1 lbx887:0
ubx888:-2.6998 lbx888:-2.6999
ubx889:0.0002 lbx889:0
ubx890:73.8363 lbx890:73.8362
